schedule_month,region_name,commissioner_name,monthly_ud_as_delivered,monthly_uo_as_delivered,urgent_forms,any_band_unique_patients_rolling_12_month,band_1_unique_patients_rolling_12_month,band_2_or_3_unique_patients_rolling_12_month,urgent_band_1_unique_patients_rolling_12_month,other_unique_patients_rolling_12_month
2016-08-01T00:00:00Z,South East,Kent And Medway ICB,208064.4,NA,10648,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South East,Surrey Heartlands ICB,100251.4,NA,4130,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South East,Sussex ICB,206863.6,NA,9297,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South West,"Bath and North East Somerset, Swindon And Wiltshire ICB",90555.2,NA,2950,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South West,"Bristol, North Somerset and South Gloucestershire ICB",127909.6,NA,4671,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South West,Cornwall and the Isles Of Scilly ICB,74491.4,NA,4053,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South West,Devon ICB,143882.6,NA,6191,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South West,Dorset ICB,100034.6,NA,4531,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South West,Gloucestershire ICB,63085.6,NA,2185,NA,NA,NA,NA,NA
2016-08-01T00:00:00Z,South West,Somerset ICB,75431.4,NA,3207,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,East of England,"Bedfordshire, Luton and Milton Keynes ICB",103716.4,NA,4235,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,East of England,Cambridgeshire and Peterborough ICB,97411.8,NA,4993,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,East of England,Hertfordshire and West Essex ICB,172795,NA,6808,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,East of England,Mid and South Essex ICB,152485.6,NA,5858,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,East of England,Norfolk and Waveney ICB,126335,NA,6665,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,East of England,Suffolk and North East Essex ICB,117408.4,NA,5226,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,London,North Central London ICB,155571.2,NA,6507,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,London,North East London ICB,195334.8,NA,8498,NA,NA,NA,NA,NA
2016-09-01T00:00:00Z,London,North West London ICB,245122.6,NA,10878,NA,NA,NA,NA,NA
