"","DATE","SUB_ICB_CODE","LA_CODE","PATIENT_TYPE","POP"
"379",2018-09-30,"99J",NA,"Adult",375607
"380",2018-09-30,"99J",NA,"Child",110167
"381",2018-09-30,"99K",NA,"Adult",138941
"382",2018-09-30,"99K",NA,"Child",34847
"383",2018-09-30,"99M",NA,"Adult",164088
"384",2018-09-30,"99M",NA,"Child",47245
"385",2018-09-30,"99N",NA,"Adult",390446
"386",2018-09-30,"99N",NA,"Child",105597
"387",2018-09-30,"99P",NA,"Adult",NA
"388",2018-09-30,"99P",NA,"Child",NA
"389",2018-09-30,"99Q",NA,"Adult",NA
"390",2018-09-30,"99Q",NA,"Child",NA
"391",2018-09-30,NA,"E06000001","Adult",72969
"392",2018-09-30,NA,"E06000001","Child",20050
"393",2018-09-30,NA,"E06000002","Adult",108243
"394",2018-09-30,NA,"E06000002","Child",32396
"395",2018-09-30,NA,"E06000003","Adult",108486
"396",2018-09-30,NA,"E06000003","Child",27519
"397",2018-09-30,NA,"E06000004","Adult",153237
"398",2018-09-30,NA,"E06000004","Child",43250
"399",2018-09-30,NA,"E06000005","Adult",83871
"400",2018-09-30,NA,"E06000005","Child",22476
"401",2018-09-30,NA,"E06000006","Adult",99187
"402",2018-09-30,NA,"E06000006","Child",28408
"403",2018-09-30,NA,"E06000007","Adult",165058
"404",2018-09-30,NA,"E06000007","Child",44646
"405",2018-09-30,NA,"E06000008","Adult",110115
"406",2018-09-30,NA,"E06000008","Child",38657
"407",2018-09-30,NA,"E06000009","Adult",111110
"408",2018-09-30,NA,"E06000009","Child",28760
"409",2018-09-30,NA,"E06000010","Adult",204219
"410",2018-09-30,NA,"E06000010","Child",56454
"411",2018-09-30,NA,"E06000011","Adult",275423
"412",2018-09-30,NA,"E06000011","Child",62638
"413",2018-09-30,NA,"E06000012","Adult",125434
"414",2018-09-30,NA,"E06000012","Child",34392
"415",2018-09-30,NA,"E06000013","Adult",135615
"416",2018-09-30,NA,"E06000013","Child",35679
"417",2018-09-30,NA,"E06000014","Adult",171639
"418",2018-09-30,NA,"E06000014","Child",36524
"419",2018-09-30,NA,"E06000015","Adult",197364
"420",2018-09-30,NA,"E06000015","Child",59670
"421",2018-09-30,NA,"E06000016","Adult",269762
"422",2018-09-30,NA,"E06000016","Child",83778
"423",2018-09-30,NA,"E06000017","Adult",31709
"424",2018-09-30,NA,"E06000017","Child",7765
"425",2018-09-30,NA,"E06000018","Adult",261270
"426",2018-09-30,NA,"E06000018","Child",67939
"427",2018-09-30,NA,"E06000019","Adult",155108
"428",2018-09-30,NA,"E06000019","Child",35933
"429",2018-09-30,NA,"E06000020","Adult",135627
"430",2018-09-30,NA,"E06000020","Child",40141
"431",2018-09-30,NA,"E06000021","Adult",198107
"432",2018-09-30,NA,"E06000021","Child",57271
"433",2018-09-30,NA,"E06000022","Adult",153120
"434",2018-09-30,NA,"E06000022","Child",35558
"435",2018-09-30,NA,"E06000023","Adult",365292
"436",2018-09-30,NA,"E06000023","Child",93960
"437",2018-09-30,NA,"E06000024","Adult",169645
"438",2018-09-30,NA,"E06000024","Child",43189
"439",2018-09-30,NA,"E06000025","Adult",220861
