"","DATE","SUB_ICB_CODE","SUB_ICB_ONS_CODE","ICB","PATIENT_TYPE","AGE_BAND","SEEN","POP","PERCENT_SEEN"
"100",2018-12-31,"04E","E38000103",NA,"Child","11",1480,2263,65.4
"101",2018-12-31,"04E","E38000103",NA,"Child","12",1489,2135,69.74
"102",2018-12-31,"04E","E38000103",NA,"Child","13",1429,2103,67.95
"103",2018-12-31,"04E","E38000103",NA,"Child","14",1440,2059,69.94
"104",2018-12-31,"04E","E38000103",NA,"Child","15",1339,2021,66.25
"105",2018-12-31,"04E","E38000103",NA,"Child","16",1282,2084,61.52
"106",2018-12-31,"04E","E38000103",NA,"Child","17",1122,2118,52.97
"107",2018-12-31,"04E","E38000103",NA,"Child","2",805,2385,33.75
"108",2018-12-31,"04E","E38000103",NA,"Child","3",982,2481,39.58
"109",2018-12-31,"04E","E38000103",NA,"Child","4",1210,2453,49.33
"110",2018-12-31,"04E","E38000103",NA,"Child","5",1326,2620,50.61
"111",2018-12-31,"04E","E38000103",NA,"Child","6",1492,2575,57.94
"112",2018-12-31,"04E","E38000103",NA,"Child","7",1558,2456,63.44
"113",2018-12-31,"04E","E38000103",NA,"Child","8",1567,2449,63.99
"114",2018-12-31,"04E","E38000103",NA,"Child","9",1503,2341,64.2
"115",2018-12-31,"04G","E38000108",NA,"Adult","18+",248357,507687,48.92
"116",2018-12-31,"04G","E38000108",NA,"Child","0",200,7844,2.55
"117",2018-12-31,"04G","E38000108",NA,"Child","1",1725,8313,20.75
"118",2018-12-31,"04G","E38000108",NA,"Child","10",6005,8442,71.13
"119",2018-12-31,"04G","E38000108",NA,"Child","11",5854,8257,70.9
"120",2018-12-31,"04G","E38000108",NA,"Child","12",5681,7750,73.3
"121",2018-12-31,"04G","E38000108",NA,"Child","13",5410,7645,70.77
"122",2018-12-31,"04G","E38000108",NA,"Child","14",5151,7342,70.16
"123",2018-12-31,"04G","E38000108",NA,"Child","15",4977,7200,69.12
"124",2018-12-31,"04G","E38000108",NA,"Child","16",4479,7477,59.9
"125",2018-12-31,"04G","E38000108",NA,"Child","17",4223,7450,56.68
"126",2018-12-31,"04G","E38000108",NA,"Child","2",3135,8296,37.79
"127",2018-12-31,"04G","E38000108",NA,"Child","3",4086,8452,48.34
"128",2018-12-31,"04G","E38000108",NA,"Child","4",4470,8804,50.77
"129",2018-12-31,"04G","E38000108",NA,"Child","5",5152,8927,57.71
"130",2018-12-31,"04G","E38000108",NA,"Child","6",5634,8766,64.27
"131",2018-12-31,"04G","E38000108",NA,"Child","7",5828,8751,66.6
"132",2018-12-31,"04G","E38000108",NA,"Child","8",6005,8667,69.29
"133",2018-12-31,"04G","E38000108",NA,"Child","9",5821,8777,66.32
"134",2018-12-31,"04H","E38000109",NA,"Adult","18+",45061,96642,46.63
"135",2018-12-31,"04H","E38000109",NA,"Child","0",48,1237,3.88
"136",2018-12-31,"04H","E38000109",NA,"Child","1",324,1253,25.86
"137",2018-12-31,"04H","E38000109",NA,"Child","10",891,1398,63.73
"138",2018-12-31,"04H","E38000109",NA,"Child","11",914,1428,64.01
"139",2018-12-31,"04H","E38000109",NA,"Child","12",890,1312,67.84
"140",2018-12-31,"04H","E38000109",NA,"Child","13",837,1343,62.32
"141",2018-12-31,"04H","E38000109",NA,"Child","14",884,1280,69.06
"142",2018-12-31,"04H","E38000109",NA,"Child","15",807,1297,62.22
"143",2018-12-31,"04H","E38000109",NA,"Child","16",732,1263,57.96
"144",2018-12-31,"04H","E38000109",NA,"Child","17",715,1378,51.89
"145",2018-12-31,"04H","E38000109",NA,"Child","2",525,1334,39.36
"146",2018-12-31,"04H","E38000109",NA,"Child","3",661,1314,50.3
"147",2018-12-31,"04H","E38000109",NA,"Child","4",734,1383,53.07
"148",2018-12-31,"04H","E38000109",NA,"Child","5",829,1439,57.61
"149",2018-12-31,"04H","E38000109",NA,"Child","6",886,1485,59.66
"150",2018-12-31,"04H","E38000109",NA,"Child","7",883,1489,59.3
"151",2018-12-31,"04H","E38000109",NA,"Child","8",1012,1425,71.02
"152",2018-12-31,"04H","E38000109",NA,"Child","9",951,1425,66.74
"153",2018-12-31,"04K","E38000132",NA,"Adult","18+",150314,261270,57.53
"154",2018-12-31,"04K","E38000132",NA,"Child","0",80,4164,1.92
"155",2018-12-31,"04K","E38000132",NA,"Child","1",811,4360,18.6
"156",2018-12-31,"04K","E38000132",NA,"Child","10",3034,3710,81.78
"157",2018-12-31,"04K","E38000132",NA,"Child","11",2898,3628,79.88
"158",2018-12-31,"04K","E38000132",NA,"Child","12",2750,3453,79.64
"159",2018-12-31,"04K","E38000132",NA,"Child","13",2627,3256,80.68
"160",2018-12-31,"04K","E38000132",NA,"Child","14",2532,3196,79.22
"161",2018-12-31,"04K","E38000132",NA,"Child","15",2447,3163,77.36
"162",2018-12-31,"04K","E38000132",NA,"Child","16",2271,3205,70.86
"163",2018-12-31,"04K","E38000132",NA,"Child","17",2053,3262,62.94
"164",2018-12-31,"04K","E38000132",NA,"Child","2",1752,4192,41.79
"165",2018-12-31,"04K","E38000132",NA,"Child","3",2219,4164,53.29
"166",2018-12-31,"04K","E38000132",NA,"Child","4",2395,4228,56.65
"167",2018-12-31,"04K","E38000132",NA,"Child","5",2682,4264,62.9
"168",2018-12-31,"04K","E38000132",NA,"Child","6",3064,4035,75.94
"169",2018-12-31,"04K","E38000132",NA,"Child","7",3134,3923,79.89
"170",2018-12-31,"04K","E38000132",NA,"Child","8",3192,3850,82.91
"171",2018-12-31,"04K","E38000132",NA,"Child","9",3053,3886,78.56
"172",2018-12-31,"04L","E38000133",NA,"Adult","18+",76484,121031,63.19
"173",2018-12-31,"04L","E38000133",NA,"Child","0",35,1613,2.17
"174",2018-12-31,"04L","E38000133",NA,"Child","1",425,1651,25.74
"175",2018-12-31,"04L","E38000133",NA,"Child","10",1336,1798,74.3
"176",2018-12-31,"04L","E38000133",NA,"Child","11",1378,1731,79.61
"177",2018-12-31,"04L","E38000133",NA,"Child","12",1367,1675,81.61
"178",2018-12-31,"04L","E38000133",NA,"Child","13",1297,1612,80.46
"179",2018-12-31,"04L","E38000133",NA,"Child","14",1250,1605,77.88
"180",2018-12-31,"04L","E38000133",NA,"Child","15",1140,1551,73.5
"181",2018-12-31,"04L","E38000133",NA,"Child","16",1052,1644,63.99
"182",2018-12-31,"04L","E38000133",NA,"Child","17",1035,1695,61.06
"183",2018-12-31,"04L","E38000133",NA,"Child","2",868,1670,51.98
"184",2018-12-31,"04L","E38000133",NA,"Child","3",1076,1693,63.56
"185",2018-12-31,"04L","E38000133",NA,"Child","4",1178,1716,68.65
"186",2018-12-31,"04L","E38000133",NA,"Child","5",1311,1836,71.41
